,base,clouds.all,cod,coord.lat,coord.lon,dt,id,main.grnd_level,main.humidity,main.pressure,main.sea_level,main.temp,main.temp_max,main.temp_min,name,rain.1h,rain.3h,sys.country,sys.id,sys.message,sys.sunrise,sys.sunset,sys.type,visibility,weather,wind.deg,wind.gust,wind.speed
105,stations,92,200,70.62,147.9,1537731586,2126123,1020.68,97,1020.68,1022.75,32.48,32.48,32.48,Chokurdakh,,,RU,,0.0032,1537645994,1537689950,,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",251.504,,3.6
106,stations,0,200,45.32,55.19,1537731586,610298,1030.16,55,1030.16,1032.72,55.79,55.79,55.79,Beyneu,,,KZ,,0.0034,1537668484,1537712037,,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",131.004,,9.19
107,stations,92,200,63.46,48.9,1537731586,544084,993.53,79,993.53,1012.59,61.01,61.01,61.01,Koslan,,0.29,RU,,0.003,1537669910,1537713582,,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",197.504,,9.42
108,stations,75,200,28.66,-17.92,1537729200,2514651,,83,1019.0,,73.4,73.4,73.4,Los Llanos de Aridane,,,ES,5515.0,0.0044,1537686057,1537729570,1.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",30.0,,16.11
109,stations,56,200,-22.12,14.28,1537731587,3356832,1012.9,99,1012.9,1026.52,55.16,55.16,55.16,Henties Bay,,,NA,,0.0029,1537678254,1537721966,,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",177.004,,4.5
110,stations,32,200,11.14,123.72,1537731587,1685422,1021.24,100,1021.24,1021.42,81.44,81.44,81.44,Sulangan,,,PH,,0.0043,1537652054,1537695618,,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",292.004,,14.56
111,stations,0,200,-20.01,148.25,1537729200,2174444,,87,1018.0,,59.0,59.0,59.0,Bowen,,,AU,8174.0,0.0047,1537646128,1537689799,1.0,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",210.0,,5.82
112,stations,90,200,53.36,-104.02,1537729560,6088469,,80,1021.0,,32.0,32.0,32.0,Nipawin,,,CA,3923.0,0.0037,1537706716,1537750192,1.0,8047.0,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",100.0,,10.29
113,stations,75,200,-42.78,147.06,1537729200,2155415,,89,1032.0,,42.8,42.8,42.8,New Norfolk,,,AU,8195.0,0.0032,1537646324,1537690201,1.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",270.0,,5.82
114,stations,75,200,35.78,-78.64,1537730100,4487042,,55,1018.0,,74.82,86.0,63.68,Raleigh,,,US,1826.0,0.004,1537700636,1537744122,1.0,16093.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",24.0035,,5.5
115,stations,80,200,-34.48,-54.34,1537731589,3440777,1007.87,61,1007.87,1024.98,63.98,63.98,63.98,Rocha,,,UY,,0.0039,1537694655,1537738508,,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",99.5035,,7.96
116,stations,0,200,46.77,-56.17,1537731589,3424934,1033.73,93,1033.73,1034.18,55.34,55.34,55.34,Saint-Pierre,,,PM,,0.0035,1537695231,1537738727,,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",218.004,,16.02
117,stations,0,200,35.51,27.21,1537728600,260895,,83,1016.0,,73.4,73.4,73.4,Karpathos,,,GR,5682.0,0.0029,1537675218,1537718744,1.0,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",290.0,,13.87
118,stations,1,200,61.6,-149.11,1537728960,5871146,,79,1009.0,,51.93,55.04,48.92,Palmer,,,US,131.0,0.004,1537717531,1537760991,1.0,16093.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",120.0,,4.7
119,stations,32,200,-0.95,122.79,1537731590,1637001,1009.01,92,1009.01,1025.02,77.3,77.3,77.3,Luwuk,,,ID,,0.0044,1537652269,1537695861,,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",212.504,,6.73
120,stations,56,200,-35.17,173.16,1537731590,2194098,1013.3,91,1013.3,1026.73,55.43,55.43,55.43,Ahipara,,,NZ,,0.0124,1537640106,1537683884,,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",272.504,,11.77
121,stations,68,200,71.64,128.87,1537731591,2015306,1006.49,100,1006.49,1023.97,25.55,25.55,25.55,Tiksi,,,RU,,0.0047,1537650552,1537694516,,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",190.004,,3.49
122,stations,36,200,53.59,142.95,1537731591,2122614,1023.03,97,1023.03,1025.83,44.63,44.63,44.63,Okha,,0.2925,RU,,0.0089,1537647370,1537691020,,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",191.504,,3.04
123,stations,24,200,62.23,-6.59,1537730400,2618795,,69,1023.0,,39.2,39.2,39.2,Klaksvik,,,FO,5266.0,0.0033,1537683262,1537726864,1.0,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",310.0,,5.82
